Practice Area	Keywords
Advertising & Marketing	advertising, marketing
Alcohol Beverage Law	alcohol, beverage
Antitrust and Competition	antitrust, competition law
Bankruptcy	
  Bankruptcy - Creditors Rights	creditors, creditors rights
  Bankruptcy - Debtor	debtor, chapter 11, workouts
  Bankruptcy - Consumer	consumer debt, bankruptcy code
  Bankruptcy - General	restructuring, reorganization, chapter 7, chapter 13, bankruptcy
Cannabis Law	cannabis, marijuana, medical marijuana, pot law, cannabis law
Civil Rights	civil rights, Title IX
Commercial Property (UK)	commercial property, commercial real estate, commercial conveyancing
Construction	construction, green construction
Contract Law	contracts, contract law, agreements
Corporate	
  Corporate - Compliance	regulatory, business policies, Code of Conduct, company policies
  Corporate - General	transactions, corporate governance, corporate formation, business formation, organizational documents, operating agreements, closing documents, business law
  Corporate - Emerging Companies	strategic alliances, distribution agreements, public offerings, emerging company, startup
  Corporate - Fund Formation / Investment Management	Investment Company Act, 1940 Act, private equity, fund formation, joint ventures, asset management, investment management, fund restructuring, buy-outs/buy-ins, hedge funds, consortium deals, equity financing, growth equity
  Corporate - M&A	mergers, acquisitions
  Corporate - Securities and Capital Markets	securities, capital markets, initial public offerings, IPO, Securities Act of 1933, Securities Exchange Act of 1934, Broker Dealer
  Corporate - Venture Capital	venture capital, emerging companies, portfolio company
Criminal Law - Defense	crime, criminal, public defender, fraud, homicide, felony, misdemeanor, criminal appeals, sexual harassment, Child Victim's Act, childhood sexual abuse, corrections law
Criminal Law - Prosecution	crime prosecution
Data Privacy	data privacy, data security, privacy laws, data security laws, CIPP certification, CISPP certification, cybersecurity, Internet law, data protection, General Data Protection Regulation, GDPR, Right to Privacy Act
Education	education, school,
Elder Law	elder law
Electric Power	electricity, electric power
Energy and Oil & Gas	energy law, oil & gas law
  Energy and Oil & Gas - Transactional	
  Energy and Oil & Gas - Litigation	
  Energy and Oil & Gas - General	
Entertainment and New Media	Entertainment, new media, advertising, right of publicity
  Entertainment and New Media - Transactional	
  Entertainment and New Media - IP	
  Media Law	media, media law
Environmental and Land Use	
  Environmental Law	environmental law, planning laws, natural resources law, CEQA, environmental impact statement, EIS, Environmental Protection Agency, EPA, CERCLA, Brown Act, toxic tort, hazardous waste law, wildlife law
  Land Use & Zoning	land use, land development, zoning, zoning laws
  Mining Law	mining, mining law
  Water Law	Water Law, Clean Water Act, Watershed Management, Safe Drinking Water Act
ERISA/Executive Compensation	ERISA, Employment Retirement Income Security Act, employee benefits, pension plans, retirement funds, federal employee benefits, executive compensation plans 
Family Law
	Family law, domestic relations, child custody, divorce, marriage, marriage dissolution, prenuptial agreement, visitation rights, child support, alimony, palimony, property distribution, property division, community property, separate property emancipation, family, domestic violence, dependency law
Finance	
  Finance - Consumer	consumer finance
  Finance - General	accounting and finance for lawyers, finance
  Finance - Banking	lending, banking, debt finance, credit facilities, acquisition finance, credit agreements, lending, asset-based facilities, acquisition financing, leveraged acquisitions, leveraged transactions, syndicated transactions, Banking Act of 1933, Dodd-Frank Act of 2010, Bank Secrecy Act, Community Reinvestment Act of 1977
  Finance - Financial Services Regulation	financial services regulatory, financial services regulation
